,Libellé de la commune,latitude,longitude
407,Vonnas,46.2189665,4.9925097
408,Abbécourt,49.5959,3.18039
409,Achery,49.6913243,3.3898348
410,Acy,30.2188079,-90.8203734
411,Agnicourt-et-Séchelles,49.716,3.95498
412,Aguilcourt,49.4061645,3.9667047
413,Aisonville-et-Bernoville,49.9341769,3.5213077
414,Aizelles,49.4888,3.81065
415,Aizy-Jouy,49.4345,3.51502
416,Alaincourt,47.9406,6.09898
417,Allemant,49.4613,3.45247
418,Ambleny,49.3775,3.18244
419,Ambrief,49.3173,3.40307
420,Amifontaine,49.4836096,3.9180323
421,Amigny-Rouy,49.6105591,3.3052683
422,Ancienville,49.2177778,3.215
423,Andelain,49.6433333,3.3711111
424,Anguilcourt-le-Sart,49.6897607,3.4337254
425,Anizy-le-Château,49.5060264,3.4503442
426,Annois,49.7168,3.17927
427,Any-Martin-Rieux,49.8807927,4.2210872
428,Archon,49.7396539,4.1177577
429,Arcy-Sainte-Restitue,49.2522821,3.46339
430,Armentières-sur-Ourcq,49.1822,3.3828
431,Arrancy,49.4921301,3.7548284
432,Artemps,49.7653389,3.1920179
433,Assis-sur-Serre,49.6888889,3.5594444
434,Athies-sous-Laon,49.5756807,3.679717
435,Attilly,49.8551,3.16552
436,Aubencheul-aux-Bois,50.0294444,3.2655556
437,Aubenton,49.8367456,4.2040955
438,Aubigny-aux-Kaisnes,49.774051,3.1162661
439,Aubigny-en-Laonnois,49.4979,3.79141
440,Audignicourt,49.477,3.13476
441,Audigny,49.8695895,3.6462111
442,Augy,49.3387015,3.5146436
443,Aulnois-sous-Laon,49.6130556,3.6080556
444,Les Autels,49.7636244,4.2253156
445,Autremencourt,49.705,3.7872222
446,Autreppes,49.9036895,3.8567946
447,Autreville,48.4847187,5.8493806
448,Azy-sur-Marne,49.0019444,3.3669444
449,Bagneux,48.795056,2.3027323
450,Bancigny,49.8013889,4.0344444
451,Barenton-Bugny,49.6335,3.6524
452,Barenton-Cel,49.6425,3.6536
453,Barenton-sur-Serre,49.669959,3.6813741
454,Barisis-aux-Bois,49.5782374,3.3299468
455,Barzy-en-Thiérache,50.0438889,3.7469444
456,Barzy-sur-Marne,49.0864834,3.5528175
457,Bassoles-Aulers,49.528,3.37807
458,Vallées en Champagne,NaN,NaN
459,Bazoches-sur-Vesles,49.3073919,3.6178747
460,Beaumé,49.8388889,4.1530556
461,Beaumont-en-Beine,49.6897,3.13106
462,Beaurevoir,49.9972222,3.3097222
463,Beaurieux,49.3919569,3.7371503
464,Beautor,49.6516667,3.3455556
465,Beauvois-en-Vermandois,49.8397222,3.1044444
466,Becquigny,50.0175,3.4705556
467,Belleau,53.2855442,0.1017862
468,Bellenglise,49.9212748,3.2452306
469,Belleu,49.3591667,3.3355556
470,Bellicourt,49.9610878,3.2342681
471,Benay,49.7602778,3.3055556
472,Bergues-sur-Sambre,50.0341667,3.7066667
473,Berlancourt,49.672982,3.0685651
474,Berlise,49.6647222,4.1077778
475,Bernot,49.8694444,3.4991667
476,Berny-Rivière,49.4104,3.137
477,Berrieux,49.4864,3.84777
478,Berry-au-Bac,49.4031827,3.899841
479,Bertaucourt-Epourdon,49.6275,3.3888889
480,Berthenicourt,49.7722222,3.3822222
481,Bertricourt,49.3952857,4.0100743
482,Berzy-le-Sec,49.3347222,3.3136111
483,Besmé,49.5375,3.16121
484,Besmont,49.8383333,4.1225
485,Besny-et-Loizy,49.6005556,3.5825
486,Béthancourt-en-Vaux,49.627379,3.1440437
487,Beugneux,49.2346766,3.4142558
488,Beuvardes,49.1402,3.48915
489,Bézu-le-Guéry,49.0075,3.22514
490,Bézu-Saint-Germain,49.10813,3.4099421
491,Bichancourt,49.5802778,3.2152778
492,Bieuxy,49.44664,3.26054
493,Bièvres,48.7547679,2.2170148
494,Billy-sur-Aisne,49.3555905,3.3844146
495,Billy-sur-Ourcq,49.2186111,3.3025
496,Blanzy-lès-Fismes,49.337915,3.6734686
497,Blérancourt,49.5171443,3.1517532
498,Blesmes,49.0380556,3.4516667
499,Bohain-en-Vermandois,49.986708,3.4547638
500,Bois-lès-Pargny,49.7313499,3.6482843
501,Boncourt,49.6161,3.94733
502,Bonneil,49.0083333,3.3494444
503,Bonnesvalyn,49.1201,3.31733
504,Bony,49.9888889,3.2236111
505,Bosmont-sur-Serre,49.7319438,3.8594286
506,Bouconville-Vauclair,49.4653708,3.7536611
507,Boué,50.012241,3.7004563
508,Bouffignereux,49.3727988,3.8455756
509,Bouresches,49.0641667,3.3102778
510,Bourg-et-Comin,49.3963516,3.6540786
511,Bourguignon-sous-Coucy,49.5441,3.15787
512,Bourguignon-sous-Montbavin,49.5281858,3.5404972
513,La Bouteille,49.8596025,3.9746564
514,Braine,49.3442899,3.5340221
515,Brancourt-en-Laonnois,49.5134,3.41948
516,Brancourt-le-Grand,49.9769444,3.3822222
517,Brasles,49.05,3.4286111
518,Braye-en-Laonnois,49.4419444,3.6088889
519,Braye-en-Thiérache,49.7794257,3.9588314
520,Bray-Saint-Christophe,49.7709,3.14438
521,Braye,49.7230396,-2.2008
